SAM3	S000006195	amino acid transport	GO:0006865
tR(ACG)E	S000006701	translational elongation	GO:0006414
RPL10	S000004065	structural molecule activity	GO:0005198
APC1	S000005116	nucleus	GO:0005634
ARK1	S000004965	site of polarized growth	GO:0030427
ALG9	S000005163	cytoplasm	GO:0005737
MEP2	S000005086	transmembrane transporter activity	GO:0022857
MSS2	S000002265	mitochondrion organization	GO:0007005
OTU1	S000001850	protein modification by small protein conjugation or removal	GO:0070647
SSA4	S000000905	response to heat	GO:0009408
THI72	S000005718	transmembrane transport	GO:0055085
RSC1	S000003288	chromatin organization	GO:0006325
ATP1	S000000195	ATPase activity	GO:0016887
CCE1	S000001494	nuclease activity	GO:0004518
YLR410W-B	S000007380	peptidase activity	GO:0008233
YHR080C	S000001122	biological process	GO:0008150
ICS3	S000003613	biological process	GO:0008150
ALG14	S000000274	endoplasmic reticulum	GO:0005783
BLM10	S000001887	cytoplasm	GO:0005737
SPT6	S000003348	mitotic cell cycle	GO:0000278
MAD2	S000003567	molecular function	GO:0003674
UBP12	S000003733	cytoplasm	GO:0005737
AIM18	S000001241	mitochondrion	GO:0005739
PEX28	S000001193	molecular function	GO:0003674
OAR1	S000001538	oxidoreductase activity	GO:0016491
YSA1	S000000315	hydrolase activity	GO:0016787
KDX1	S000001644	kinase activity	GO:0016301
MMS2	S000003055	protein modification by small protein conjugation or removal	GO:0070647
FMP30	S000006024	membrane	GO:0016020
ATG18	S000001917	cytoplasm	GO:0005737
YBR259W	S000000463	biological process	GO:0008150
DLD2	S000002337	cytoplasm	GO:0005737
ELC1	S000005967	cellular response to DNA damage stimulus	GO:0006974
MCD4	S000001648	nucleobase-containing compound transport	GO:0015931
HSV2	S000003455	ion binding	GO:0043167
GIP3	S000006058	mitochondrion	GO:0005739
POA1	S000000226	hydrolase activity, acting on glycosyl bonds	GO:0016798
TIF5	S000006245	translation factor activity, nucleic acid binding	GO:0008135
AAP1	S000001089	hydrolase activity	GO:0016787
FAR1	S000003693	regulation of cell cycle	GO:0051726
VPS15	S000000301	transferase activity	GO:0016740
YNL134C	S000005078	biological process	GO:0008150
HAL1	S000006209	response to osmotic stress	GO:0006970
CRR1	S000004203	sporulation	GO:0043934
HAP2	S000003206	response to chemical	GO:0042221
SPO20	S000004619	sporulation	GO:0043934
tK(UUU)G1	S000006630	cytoplasm	GO:0005737
RCF1	S000004492	cytoplasm	GO:0005737
YPL168W	S000006089	biological process	GO:0008150
EHT1	S000000381	mitochondrion	GO:0005739
ELM1	S000001531	cell budding	GO:0007114
QDR1	S000001382	plasma membrane	GO:0005886
ILV1	S000000888	cellular amino acid metabolic process	GO:0006520
YIL168W	S000001430	cellular component	GO:0005575
NRM1	S000005292	transcription factor binding	GO:0008134
DPB2	S000006379	DNA replication	GO:0006260
tR(UCU)G2	S000006712	RNA binding	GO:0003723
KTR3	S000000409	transferase activity	GO:0016740
INP51	S000001264	membrane	GO:0016020
SAP185	S000003634	RNA modification	GO:0009451
IKS1	S000003593	protein phosphorylation	GO:0006468
SSL2	S000001405	helicase activity	GO:0004386
RMD5	S000002663	proteolysis involved in cellular protein catabolic process	GO:0051603
ZRC1	S000004856	cytoplasm	GO:0005737
MFG1	S000002392	molecular function	GO:0003674
RVS161	S000000602	cytoskeleton	GO:0005856
BRO1	S000006005	hydrolase activity	GO:0016787
ATG13	S000006389	membrane	GO:0016020
RTK1	S000002183	cellular component	GO:0005575
ALO1	S000004551	mitochondrion	GO:0005739
GGC1	S000002357	nucleobase-containing compound transport	GO:0015931
CIT2	S000000598	monocarboxylic acid metabolic process	GO:0032787
PMT1	S000002253	protein glycosylation	GO:0006486
PHO91	S000005296	cytoplasm	GO:0005737
MGM101	S000003905	cytoplasm	GO:0005737
RRP45	S000002688	cytoplasm	GO:0005737
YDL144C	S000002303	cytoplasm	GO:0005737
RRP3	S000001107	ATPase activity	GO:0016887
YIL001W	S000001263	molecular function	GO:0003674
YIH1	S000000655	enzyme regulator activity	GO:0030234
RSC3	S000002711	ATPase activity	GO:0016887
HMG1	S000004540	lipid metabolic process	GO:0006629
PGM1	S000001610	generation of precursor metabolites and energy	GO:0006091
RIP1	S000000750	membrane	GO:0016020
YDR239C	S000002647	biological process	GO:0008150
RCE1	S000004887	cytoplasm	GO:0005737
CDC10	S000000595	cytoplasm	GO:0005737
YGR146C-A	S000028638	cellular component	GO:0005575
XRN1	S000003141	RNA binding	GO:0003723
SQS1	S000005168	molecular function	GO:0003674
YSR3	S000001761	hydrolase activity	GO:0016787
NOP4	S000005964	rRNA processing	GO:0006364
YJL206C	S000003741	molecular function	GO:0003674
tL(CAA)G1	S000006639	cytoplasm	GO:0005737
SEC11	S000001461	peptidase activity	GO:0008233
tQ(UUG)L	S000006699	mitochondrion	GO:0005739
MAL61	S000029658	transmembrane transporter activity	GO:0022857
CEG1	S000003098	nucleotidyltransferase activity	GO:0016779
YPR148C	S000006352	biological process	GO:0008150
INA1	S000004405	membrane	GO:0016020
UTP22	S000003322	nucleobase-containing compound transport	GO:0015931
SPA2	S000003944	site of polarized growth	GO:0030427
MSH3	S000000688	meiotic cell cycle	GO:0051321
PIF1	S000004526	mitochondrion	GO:0005739
tR(UCU)J2	S000006715	cytoplasm	GO:0005737
MRH4	S000003032	cytoplasm	GO:0005737
BRE5	S000005334	cytoplasm	GO:0005737
RML2	S000000776	mitochondrion	GO:0005739
YJR003C	S000003763	biological process	GO:0008150
SPO24	S000028425	molecular function	GO:0003674
FIN1	S000002537	cytoskeleton	GO:0005856
THP1	S000005433	transcription from RNA polymerase II promoter	GO:0006366
GET4	S000005690	protein targeting	GO:0006605
YJR039W	S000003800	cytoplasm	GO:0005737
OSW2	S000004044	molecular function	GO:0003674
SOV1	S000004670	molecular function	GO:0003674
SSB2	S000005153	protein folding	GO:0006457
RPS20	S000001007	structural molecule activity	GO:0005198
tG(GCC)G1	S000006581	RNA binding	GO:0003723
ACP1	S000001675	cofactor metabolic process	GO:0051186
MED11	S000004718	transcription factor binding	GO:0008134
DNM1	S000003924	peroxisome	GO:0005777
KTR1	S000005625	cytoplasm	GO:0005737
YDR161W	S000002568	proteolysis involved in cellular protein catabolic process	GO:0051603
YPR003C	S000006207	molecular function	GO:0003674
RPL8B	S000003968	structural molecule activity	GO:0005198
VPS27	S000005289	small conjugating protein binding	GO:0032182
GTO1	S000003386	transferase activity	GO:0016740
PKP1	S000001304	kinase activity	GO:0016301
IRE1	S000001121	protein phosphorylation	GO:0006468
YER034W	S000000836	cytoplasm	GO:0005737
MCM4	S000006223	cytoplasm	GO:0005737
tH(GUG)G1	S000006595	translational elongation	GO:0006414
GEM1	S000000046	GTPase activity	GO:0003924
OM45	S000001398	cytoplasm	GO:0005737
UBP14	S000000262	cytoplasm	GO:0005737
MNN9	S000005971	transferase activity, transferring glycosyl groups	GO:0016757
SMC1	S000001886	organelle fission	GO:0048285
HEM14	S000000816	mitochondrion	GO:0005739
CIS3	S000003694	cell wall organization or biogenesis	GO:0071554
SLF1	S000002923	cytoplasm	GO:0005737
TAH18	S000006252	cytoplasm	GO:0005737
IQG1	S000006163	cytoplasm	GO:0005737
YGR121W-A	S000028550	cellular component	GO:0005575
PYC2	S000000422	ligase activity	GO:0016874
PDC6	S000003319	cytoplasm	GO:0005737
LSM4	S000000914	RNA splicing	GO:0008380
YNL284C-B	S000007387	peptidase activity	GO:0008233
RPL12B	S000002826	ribosome assembly	GO:0042255
RSC3	S000002711	transcription from RNA polymerase II promoter	GO:0006366
COA2	S000028527	mitochondrion	GO:0005739
BET2	S000006380	protein targeting	GO:0006605
EXG2	S000002669	hydrolase activity	GO:0016787
SUP56	S000006636	translational elongation	GO:0006414
YKE2	S000004190	protein complex biogenesis	GO:0070271
PPT2	S000006069	mitochondrion	GO:0005739
TFC1	S000000327	nucleus	GO:0005634
LOH1	S000003575	meiotic cell cycle	GO:0051321
tQ(UUG)D2	S000006694	mitochondrion	GO:0005739
MAC1	S000004623	cellular ion homeostasis	GO:0006873
SNU56	S000002648	mRNA processing	GO:0006397
PIF1	S000004526	membrane	GO:0016020
POP5	S000000031	RNA binding	GO:0003723
SSL1	S000003995	protein binding transcription factor activity	GO:0000988
YLR241W	S000004231	vacuole	GO:0005773
CSM4	S000006121	chromosome segregation	GO:0007059
YDR381C-A	S000007650	membrane	GO:0016020
PUS6	S000003401	RNA modification	GO:0009451
GAA1	S000004078	endoplasmic reticulum	GO:0005783
SPC1	S000003770	protein maturation	GO:0051604
CDC7	S000002175	nucleus	GO:0005634
YPL257W-A	S000007357	transposition	GO:0032196
DIB1	S000006286	molecular function	GO:0003674
YNR068C	S000005351	molecular function	GO:0003674
STP22	S000000514	regulation of protein modification process	GO:0031399
MMR1	S000004180	site of polarized growth	GO:0030427
GLC7	S000000935	microtubule organizing center	GO:0005815
APN1	S000001597	cellular response to DNA damage stimulus	GO:0006974
GTR2	S000003395	membrane	GO:0016020
MNT4	S000005342	cellular component	GO:0005575
MRPL35	S000002730	mitochondrion	GO:0005739
MSH2	S000005450	hydrolase activity	GO:0016787
EOS1	S000005024	carbohydrate metabolic process	GO:0005975
TLG2	S000005378	Golgi vesicle transport	GO:0048193
CKB1	S000002987	enzyme regulator activity	GO:0030234
TDH3	S000003424	membrane	GO:0016020
YNL134C	S000005078	oxidoreductase activity	GO:0016491
PAF1	S000000483	nucleic acid binding transcription factor activity	GO:0001071
YOR131C	S000005657	cytoplasm	GO:0005737
STP22	S000000514	proteolysis involved in cellular protein catabolic process	GO:0051603
SGN1	S000001440	cytoplasm	GO:0005737
ATG27	S000003714	vesicle organization	GO:0016050
tI(AAU)P2	S000006612	cytoplasm	GO:0005737
ADK1	S000002634	kinase activity	GO:0016301
EAF6	S000003842	nucleus	GO:0005634
SUP11	S000006779	RNA binding	GO:0003723
ADH1	S000005446	oxidoreductase activity	GO:0016491
SFH5	S000003681	Golgi vesicle transport	GO:0048193
YFL002W-A	S000002962	nucleus	GO:0005634
SEC7	S000002577	organelle assembly	GO:0070925
THI74	S000002846	biological process	GO:0008150
RPS8A	S000000168	ribosome	GO:0005840
EMW1	S000005257	nucleus	GO:0005634
SDH6	S000007605	protein complex biogenesis	GO:0070271
MRH4	S000003032	rRNA binding	GO:0019843
MTR4	S000003586	RNA catabolic process	GO:0006401
MRP1	S000002755	structural molecule activity	GO:0005198
VPS29	S000001054	cytoplasm	GO:0005737
PSP1	S000002913	cytoplasm	GO:0005737
CCS1	S000004641	ion transport	GO:0006811
GRR1	S000003850	protein binding, bridging	GO:0030674
YIR044C	S000001483	cellular component	GO:0005575
GET3	S000002258	conjugation	GO:0000746
RPL40A	S000001410	ribosome assembly	GO:0042255
BRE1	S000002232	DNA binding	GO:0003677
ACT1	S000001855	cytoskeleton	GO:0005856
EFT1	S000005659	RNA binding	GO:0003723
RAD16	S000000318	ATPase activity	GO:0016887
YDR222W	S000002630	biological process	GO:0008150
ASF2	S000002356	nucleus	GO:0005634
WRS1	S000005457	ligase activity	GO:0016874
CHS6	S000003635	cytoplasm	GO:0005737
LDS2	S000005407	cytoplasm	GO:0005737
YDR316W-B	S000007399	transposition	GO:0032196
SLY41	S000005834	cytoplasm	GO:0005737
CTK3	S000004580	regulation of translation	GO:0006417
COA6	S000004857	mitochondrion organization	GO:0007005
ATP14	S000004286	transmembrane transporter activity	GO:0022857
BSC4	S000005213	molecular function	GO:0003674
SNR36	S000007300	rRNA processing	GO:0006364
PTP3	S000000877	regulation of protein modification process	GO:0031399
LEU5	S000001044	ion transport	GO:0006811
RIM8	S000003013	protein maturation	GO:0051604
GGA1	S000002766	Golgi vesicle transport	GO:0048193
MEL6	S000029665	hydrolase activity, acting on glycosyl bonds	GO:0016798
ACS2	S000004143	nucleus	GO:0005634
CSM4	S000006121	membrane	GO:0016020
tL(UAA)B1	S000006647	translational elongation	GO:0006414
ECM32	S000000978	RNA binding	GO:0003723
PMD1	S000000934	cytoplasm	GO:0005737
ESP1	S000003330	mitotic cell cycle	GO:0000278
ERS1	S000000671	transmembrane transport	GO:0055085
PEX14	S000003121	membrane	GO:0016020
RED1	S000004253	nucleus	GO:0005634
SSA4	S000000905	nucleus	GO:0005634
PSY2	S000005145	enzyme regulator activity	GO:0030234
YLR177W	S000004167	molecular function	GO:0003674
EFG1	S000007608	molecular function	GO:0003674
TAF12	S000002552	chromatin organization	GO:0006325
VMA9	S000028508	transmembrane transport	GO:0055085
GEA1	S000003792	Golgi vesicle transport	GO:0048193
VPS41	S000002487	ion binding	GO:0043167
PAU9	S000007592	molecular function	GO:0003674
EAF3	S000006227	regulation of DNA metabolic process	GO:0051052
CDC5	S000004603	kinase activity	GO:0016301
ALT1	S000004079	mitochondrion	GO:0005739
ALB1	S000003658	cytoplasm	GO:0005737
YOS9	S000002464	cytoplasm	GO:0005737
SNR8	S000006497	RNA modification guide activity	GO:0030555
PTC2	S000000891	response to chemical	GO:0042221
CNS1	S000000359	protein folding	GO:0006457
FYV12	S000005709	molecular function	GO:0003674
HIR1	S000000104	chromosome	GO:0005694
YTP1	S000005181	molecular function	GO:0003674
HSH155	S000004901	mRNA processing	GO:0006397
YHR210C	S000001253	molecular function	GO:0003674
SEC6	S000001330	regulation of transport	GO:0051049
KTR4	S000000403	protein glycosylation	GO:0006486
IMT1	S000006665	cytoplasm	GO:0005737
SPS100	S000001181	meiotic cell cycle	GO:0051321
OST3	S000005611	membrane	GO:0016020
MKK1	S000005757	signaling	GO:0023052
HBS1	S000001792	hydrolase activity	GO:0016787
ATG11	S000006253	cytoplasm	GO:0005737
GSP2	S000005711	hydrolase activity	GO:0016787
VPS24	S000001524	membrane	GO:0016020
MAD1	S000003054	regulation of transport	GO:0051049
SMC4	S000004076	chromosome	GO:0005694
MTC1	S000003659	cytoplasm	GO:0005737
YNR075C-A	S000028706	cellular component	GO:0005575
RTC2	S000000351	ion transport	GO:0006811
RET2	S000001947	membrane	GO:0016020
COX7	S000004869	generation of precursor metabolites and energy	GO:0006091
RTG3	S000000199	protein targeting	GO:0006605
SNF5	S000000493	cellular response to DNA damage stimulus	GO:0006974
YBP2	S000003028	cytoplasm	GO:0005737
BUB3	S000005552	small conjugating protein binding	GO:0032182
ATP5	S000002706	membrane	GO:0016020
FKS1	S000004334	membrane	GO:0016020
SSE2	S000000373	protein folding	GO:0006457
CIN8	S000000787	chromosome segregation	GO:0007059
YRB1	S000002409	enzyme binding	GO:0019899
FCY21	S000000862	membrane	GO:0016020
MEI4	S000001954	organelle fission	GO:0048285
RSR1	S000003384	cell budding	GO:0007114
BSC2	S000002683	biological process	GO:0008150
SCY1	S000003051	cytoplasm	GO:0005737
PRP22	S000000815	mRNA processing	GO:0006397
PEX12	S000004628	transferase activity	GO:0016740
EAF1	S000002767	cellular response to DNA damage stimulus	GO:0006974
YKL096C-B	S000028667	biological process	GO:0008150
YPL071C	S000005992	cytoplasm	GO:0005737
HUR1	S000003136	cellular component	GO:0005575
EGD1	S000005958	protein folding	GO:0006457
PPH3	S000002482	regulation of cell cycle	GO:0051726
BZZ1	S000001156	endocytosis	GO:0006897
CLB1	S000003340	regulation of organelle organization	GO:0033043
HRP1	S000005483	cytoplasm	GO:0005737
YIL171W	S000001433	molecular function	GO:0003674
SFK1	S000001534	cytoskeleton organization	GO:0007010
PSA1	S000002213	carbohydrate metabolic process	GO:0005975
YPL034W	S000005955	biological process	GO:0008150
GNP1	S000002916	plasma membrane	GO:0005886
ELO2	S000000630	monocarboxylic acid metabolic process	GO:0032787
FUM1	S000006183	generation of precursor metabolites and energy	GO:0006091
OSH7	S000001043	endocytosis	GO:0006897
IZH2	S000005362	plasma membrane	GO:0005886
YMR265C	S000004878	molecular function	GO:0003674
MEK1	S000005878	meiotic cell cycle	GO:0051321
PSE1	S000004925	nucleus	GO:0005634
YML018C	S000004480	molecular function	GO:0003674
NIS1	S000005022	regulation of cell cycle	GO:0051726
ETR1	S000000230	cytoplasm	GO:0005737
YKR075C	S000001783	biological process	GO:0008150
SAP30	S000004876	chromosome	GO:0005694
SHG1	S000000462	chromatin organization	GO:0006325
UBP9	S000000900	cytoplasm	GO:0005737
ATG19	S000005442	protein binding, bridging	GO:0030674
YGR266W	S000003498	plasma membrane	GO:0005886
ARP6	S000004075	chromosome	GO:0005694
MSN4	S000001545	response to oxidative stress	GO:0006979
PUF3	S000003936	mRNA binding	GO:0003729
IRR1	S000001288	conjugation	GO:0000746
SUP3	S000006785	translational elongation	GO:0006414
YLR001C	S000003991	membrane	GO:0016020
STI1	S000005553	RNA binding	GO:0003723
PEP3	S000004138	cytoplasm	GO:0005737
YLR157C-B	S000007374	nucleus	GO:0005634
RPN12	S000001948	molecular function	GO:0003674
SAC6	S000002536	cytoskeletal protein binding	GO:0008092
ZUO1	S000003517	mitochondrion	GO:0005739
PPR1	S000004004	ion binding	GO:0043167
SIR2	S000002200	nucleus	GO:0005634
PCL9	S000002338	site of polarized growth	GO:0030427
ISW2	S000005831	chromatin organization	GO:0006325
RPS20	S000001007	RNA binding	GO:0003723
DPB3	S000000482	DNA binding	GO:0003677
PRE6	S000005398	molecular function	GO:0003674
CYC7	S000000765	cellular respiration	GO:0045333
YNL284C-B	S000007387	nucleotidyltransferase activity	GO:0016779
SRO77	S000000202	exocytosis	GO:0006887
VRP1	S000004329	cytokinesis	GO:0000910
YJL163C	S000003699	membrane	GO:0016020
YHR054C	S000001096	biological process	GO:0008150
SRB4	S000000824	transcription from RNA polymerase II promoter	GO:0006366
LYS14	S000002441	DNA binding	GO:0003677
YSF3	S000028509	mRNA processing	GO:0006397
MRP20	S000002813	mitochondrion organization	GO:0007005
CHC1	S000003174	membrane	GO:0016020
YVH1	S000001465	meiotic cell cycle	GO:0051321
YAR1	S000006160	response to oxidative stress	GO:0006979
PET123	S000005684	structural molecule activity	GO:0005198
PKC1	S000000201	signaling	GO:0023052
REE1	S000003753	molecular function	GO:0003674
HAC1	S000001863	nucleic acid binding transcription factor activity	GO:0001071
YPL277C	S000006198	membrane	GO:0016020
RET3	S000005931	membrane	GO:0016020
tI(AAU)L2	S000006608	RNA binding	GO:0003723
PIF1	S000004526	DNA binding	GO:0003677
HXT3	S000002753	plasma membrane	GO:0005886
ATE1	S000002985	cytoplasm	GO:0005737
REV7	S000001401	cytoplasm	GO:0005737
CMR1	S000002315	biological process	GO:0008150
CIT2	S000000598	transferase activity	GO:0016740
POL2	S000005206	RNA binding	GO:0003723
ATG9	S000002308	molecular function	GO:0003674
MIR1	S000003838	transmembrane transport	GO:0055085
RPB4	S000003676	RNA catabolic process	GO:0006401
PFY1	S000005648	membrane	GO:0016020
MIX17	S000004604	molecular function	GO:0003674
FMS1	S000004622	cytoplasm	GO:0005737
TRM44	S000005951	RNA modification	GO:0009451
GCS1	S000002385	enzyme regulator activity	GO:0030234
RPS14A	S000000627	rRNA processing	GO:0006364
HDA3	S000006383	hydrolase activity	GO:0016787
LSM12	S000001163	cytoplasm	GO:0005737
PRS2	S000000901	cytoplasm	GO:0005737
RPL40A	S000001410	protein modification by small protein conjugation or removal	GO:0070647
BTT1	S000002660	protein folding	GO:0006457
SWD3	S000000379	methyltransferase activity	GO:0008168
FET3	S000004662	oxidoreductase activity	GO:0016491
USV1	S000006151	response to osmotic stress	GO:0006970
RNH201	S000005016	DNA replication	GO:0006260
TDH3	S000003424	cell wall	GO:0005618
VPS21	S000005615	cytoplasm	GO:0005737
YJU2	S000001578	nucleus	GO:0005634
